"date","version","downloads"
"2026-07-08","1.28.0",406496
"2026-07-08","1.28.1",4604832
"2026-07-08","1.3.0",3655
"2026-07-08","1.3.0rc1",6
"2026-07-08","1.4.0",3103
"2026-07-08","1.4.1",4088
"2026-07-08","1.5.0",5954
"2026-07-08","1.6.0",18521
"2026-07-08","1.7.0",2627
"2026-07-08","1.7.1",3183
"2026-07-08","1.8.0",3870
"2026-07-08","1.8.1",10493
"2026-07-08","1.9.0",12012
"2026-07-08","1.9.1",11230
"2026-07-08","1.9.2",11962
"2026-07-08","1.9.3",11640
"2026-07-08","1.9.4",44985
"2026-07-08","2.0.0a1",611
"2026-07-08","2.0.0a2",818
"2026-07-08","2.0.0a3",1439
"2026-07-08","2.0.0b1",16302
"2026-07-09","0.9.1",2607
"2026-07-09","1.0.0",2132
"2026-07-09","1.1.0",739
"2026-07-09","1.1.1",1541
"2026-07-09","1.1.2",1562
"2026-07-09","1.1.3",3872
"2026-07-09","1.10.0",9360
"2026-07-09","1.10.1",18405
"2026-07-09","1.11.0",12611
"2026-07-09","1.12.0",26728
"2026-07-09","1.12.1",20413
"2026-07-09","1.12.2",14106
"2026-07-09","1.12.3",10231
"2026-07-09","1.12.4",66537
"2026-07-09","1.13.0",18538
"2026-07-09","1.13.1",24994
"2026-07-09","1.14.0",21433
"2026-07-09","1.14.1",23302
"2026-07-09","1.15.0",19137
"2026-07-09","1.16.0",50612
"2026-07-09","1.17.0",24341
"2026-07-09","1.18.0",54302
"2026-07-09","1.19.0",69888
"2026-07-09","1.2.0",2882
"2026-07-09","1.2.0rc1",3
"2026-07-09","1.2.1",2616
"2026-07-09","1.20.0",56805
"2026-07-09","1.21.0",55557
"2026-07-09","1.21.1",54720
"2026-07-09","1.21.2",55622
"2026-07-09","1.22.0",72312
"2026-07-09","1.23.0",75751
"2026-07-09","1.23.1",62476
"2026-07-09","1.23.2",54845
"2026-07-09","1.23.3",542833
"2026-07-09","1.24.0",183331
"2026-07-09","1.25.0",288013
"2026-07-09","1.26.0",1248506
"2026-07-09","1.27.0",508097
"2026-07-09","1.27.1",594332
"2026-07-09","1.27.2",386292
"2026-07-09","1.28.0",333926
"2026-07-09","1.28.1",4449318
"2026-07-09","1.3.0",3546
"2026-07-09","1.3.0rc1",3
"2026-07-09","1.4.0",2788
"2026-07-09","1.4.1",3973
"2026-07-09","1.5.0",3782
"2026-07-09","1.6.0",18786
"2026-07-09","1.7.0",2661
"2026-07-09","1.7.1",3154
"2026-07-09","1.8.0",4420
"2026-07-09","1.8.1",10760
"2026-07-09","1.9.0",9135
"2026-07-09","1.9.1",9602
"2026-07-09","1.9.2",9966
"2026-07-09","1.9.3",8914
"2026-07-09","1.9.4",42321
"2026-07-09","2.0.0a1",898
"2026-07-09","2.0.0a2",1017
"2026-07-09","2.0.0a3",1529
"2026-07-09","2.0.0b1",18668
"2026-07-10","0.9.1",2851
"2026-07-10","1.0.0",1853
"2026-07-10","1.1.0",982
"2026-07-10","1.1.1",1045
"2026-07-10","1.1.2",1698
"2026-07-10","1.1.3",3351
"2026-07-10","1.10.0",8458
"2026-07-10","1.10.1",16715
"2026-07-10","1.11.0",11997
"2026-07-10","1.12.0",16254
"2026-07-10","1.12.1",20370
